pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice,curtime
326.05,SBIN,12.5,28-JUN-18,2177260.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,4543.0,17137.0,5828.0,26-OCT-17,4985.0,290.1,26.0,18001336.0,-1.89,36235.15,23.57,1458511.0,292.13,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.8,6SEP2018,290.85,351.3,296.45,,232.35,290.7,290.75,,4243474.0,290.65,No Band,5.0,23-MAR-18,7.5,290.9,291.0,12403777.0,291.05,291.1,291.15,-5.60,,,47018.0,False,33863.0,15313.0,16641.0,EQ,1.0,24902.0,0.0,295.9,INE062A01020,290.85,Fri Sep  7 12:59:57 2018
326.05,SBIN,12.5,28-JUN-18,2208391.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,19050.0,16662.0,15460.0,26-OCT-17,6868.0,290.1,14944.0,18001336.0,-1.69,37237.66,23.57,1427382.0,292.1,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.4,6SEP2018,291.45,351.3,296.45,,232.35,291.3,291.35,,4243474.0,291.25,No Band,5.0,23-MAR-18,7.5,291.5,291.55,12748256.0,291.6,291.65,291.7,-5.00,,,3377.0,False,4982.0,3566.0,1027.0,EQ,1.0,31334.0,0.0,295.9,INE062A01020,291.45,Fri Sep  7 13:09:57 2018
