pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice,curtime
326.05,SBIN,12.5,28-JUN-18,2062309.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.58,266.85,10084.0,20987.0,10839.0,26-OCT-17,2172.0,290.1,1624.0,18001336.0,-2.11,31117.11,23.57,1273561.0,292.31,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.1,6SEP2018,290.15,351.3,296.45,,232.35,290.0,290.05,,4243474.0,289.95,No Band,5.0,23-MAR-18,7.5,290.2,290.25,10645244.0,290.3,290.35,290.4,-6.25,,,144403.0,False,25088.0,17044.0,4497.0,EQ,1.0,31367.0,0.0,295.9,INE062A01020,290.2,Fri Sep  7 12:09:22 2018
326.05,SBIN,12.5,28-JUN-18,1969215.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.58,266.85,19518.0,13928.0,3076.0,26-OCT-17,3819.0,290.1,48.0,18001336.0,-1.64,32563.89,23.57,1344660.0,292.24,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.55,6SEP2018,291.6,351.3,296.45,,232.35,291.45,291.5,,4243474.0,291.4,No Band,5.0,23-MAR-18,7.5,291.65,291.7,11142858.0,291.75,291.8,291.85,-4.85,,,6299.0,False,7546.0,1252.0,1530.0,EQ,1.0,24413.0,0.0,295.9,INE062A01020,291.6,Fri Sep  7 12:19:22 2018
326.05,SBIN,12.5,28-JUN-18,2098217.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.58,266.85,15367.0,7441.0,3618.0,26-OCT-17,4147.0,290.1,62.0,18001336.0,-1.79,33490.83,23.57,1388292.0,292.22,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.05,6SEP2018,291.1,351.3,296.45,,232.35,290.95,291.0,,4243474.0,290.9,No Band,5.0,23-MAR-18,7.5,291.15,291.2,11460829.0,291.25,291.3,291.35,-5.30,,,15239.0,False,47326.0,9910.0,14843.0,EQ,1.0,38467.0,0.0,295.9,INE062A01020,291.15,Fri Sep  7 12:29:21 2018
