pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice,curtime
326.05,SBIN,12.5,28-JUN-18,2256122.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,11430.0,8524.0,1949.0,26-OCT-17,335.0,290.1,2066.0,18001336.0,-1.92,40334.93,23.57,1399151.0,292.05,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.7,6SEP2018,290.75,351.3,296.45,,232.35,290.6,290.65,,4243474.0,290.55,No Band,5.0,23-MAR-18,7.5,290.8,290.85,13810967.0,290.9,290.95,291.0,-5.70,,,12023.0,False,20989.0,5625.0,3957.0,EQ,1.0,6910.0,0.0,295.9,INE062A01020,290.75,Fri Sep  7 13:31:23 2018
326.05,SBIN,12.5,28-JUN-18,2254057.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,5223.0,11417.0,15284.0,26-OCT-17,1977.0,290.1,825.0,18001336.0,-1.92,40485.26,23.57,1404856.0,292.05,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.75,6SEP2018,290.8,351.3,296.45,,232.35,290.65,290.7,,4243474.0,290.6,No Band,5.0,23-MAR-18,7.5,290.85,290.9,13862443.0,290.95,291.0,291.05,-5.70,,,16206.0,False,9607.0,1599.0,85.0,EQ,1.0,18130.0,0.0,295.9,INE062A01020,290.75,Fri Sep  7 13:32:23 2018
326.05,SBIN,12.5,28-JUN-18,2264519.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,7611.0,6651.0,1858.0,26-OCT-17,1629.0,290.1,815.0,18001336.0,-1.92,40548.76,23.57,1407375.0,292.05,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.7,6SEP2018,290.75,351.3,296.45,,232.35,290.6,290.65,,4243474.0,290.55,No Band,5.0,23-MAR-18,7.5,290.8,290.85,13884185.0,290.9,290.95,291.0,-5.70,,,18506.0,False,19477.0,12859.0,574.0,EQ,1.0,7280.0,0.0,295.9,INE062A01020,290.75,Fri Sep  7 13:33:22 2018
326.05,SBIN,12.5,28-JUN-18,2264519.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,7611.0,6651.0,1858.0,26-OCT-17,1629.0,290.1,815.0,18001336.0,-1.92,40548.76,23.57,1407375.0,292.05,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.7,6SEP2018,290.75,351.3,296.45,,232.35,290.6,290.65,,4243474.0,290.55,No Band,5.0,23-MAR-18,7.5,290.8,290.85,13884185.0,290.9,290.95,291.0,-5.70,,,18506.0,False,19477.0,12859.0,574.0,EQ,1.0,7280.0,0.0,295.9,INE062A01020,290.75,Fri Sep  7 13:34:22 2018
326.05,SBIN,12.5,28-JUN-18,2281528.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,4745.0,11490.0,1141.0,26-OCT-17,4011.0,290.1,10199.0,18001336.0,-1.86,40765.49,23.57,1472699.0,292.04,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.85,6SEP2018,290.9,351.3,296.45,,232.35,290.75,290.8,,4243474.0,290.7,No Band,5.0,23-MAR-18,7.5,290.95,291.0,13958873.0,291.05,291.1,291.15,-5.50,,,14634.0,False,55707.0,5483.0,4033.0,EQ,1.0,24926.0,0.0,295.9,INE062A01020,290.95,Fri Sep  7 13:35:22 2018
326.05,SBIN,12.5,28-JUN-18,2281528.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,4745.0,11490.0,1141.0,26-OCT-17,4011.0,290.1,10199.0,18001336.0,-1.86,40765.49,23.57,1472699.0,292.04,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.85,6SEP2018,290.9,351.3,296.45,,232.35,290.75,290.8,,4243474.0,290.7,No Band,5.0,23-MAR-18,7.5,290.95,291.0,13958873.0,291.05,291.1,291.15,-5.50,,,14634.0,False,55707.0,5483.0,4033.0,EQ,1.0,24926.0,0.0,295.9,INE062A01020,290.95,Fri Sep  7 13:36:22 2018
326.05,SBIN,12.5,28-JUN-18,2265859.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,9855.0,14281.0,7424.0,26-OCT-17,4794.0,290.1,754.0,18001336.0,-1.79,40921.2,23.57,1484012.0,292.04,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.0,6SEP2018,291.05,351.3,296.45,,232.35,290.9,290.95,,4243474.0,290.85,No Band,5.0,23-MAR-18,7.5,291.15,291.2,14012191.0,291.25,291.3,291.35,-5.30,,,14631.0,False,10840.0,41738.0,1936.0,EQ,1.0,10171.0,0.0,295.9,INE062A01020,291.15,Fri Sep  7 13:37:22 2018
326.05,SBIN,12.5,28-JUN-18,2265859.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,9855.0,14281.0,7424.0,26-OCT-17,4794.0,290.1,754.0,18001336.0,-1.79,40921.2,23.57,1484012.0,292.04,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.0,6SEP2018,291.05,351.3,296.45,,232.35,290.9,290.95,,4243474.0,290.85,No Band,5.0,23-MAR-18,7.5,291.15,291.2,14012191.0,291.25,291.3,291.35,-5.30,,,14631.0,False,10840.0,41738.0,1936.0,EQ,1.0,10171.0,0.0,295.9,INE062A01020,291.15,Fri Sep  7 13:38:22 2018
326.05,SBIN,12.5,28-JUN-18,2284304.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,12450.0,6794.0,11865.0,26-OCT-17,3494.0,290.1,856.0,18001336.0,-1.80,41070.33,23.57,1478562.0,292.03,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.1,6SEP2018,291.15,351.3,296.45,,232.35,291.0,291.05,,4243474.0,290.95,No Band,5.0,23-MAR-18,7.5,291.2,291.25,14063738.0,291.3,291.35,291.4,-5.35,,,55112.0,False,3289.0,955.0,195.0,EQ,1.0,7950.0,0.0,295.9,INE062A01020,291.1,Fri Sep  7 13:39:22 2018
326.05,SBIN,12.5,28-JUN-18,2284304.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,12450.0,6794.0,11865.0,26-OCT-17,3494.0,290.1,856.0,18001336.0,-1.80,41070.33,23.57,1478562.0,292.03,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,291.1,6SEP2018,291.15,351.3,296.45,,232.35,291.0,291.05,,4243474.0,290.95,No Band,5.0,23-MAR-18,7.5,291.2,291.25,14063738.0,291.3,291.35,291.4,-5.35,,,55112.0,False,3289.0,955.0,195.0,EQ,1.0,7950.0,0.0,295.9,INE062A01020,291.1,Fri Sep  7 13:40:22 2018
326.05,SBIN,12.5,28-JUN-18,2300603.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,14319.0,2867.0,1693.0,26-OCT-17,1372.0,290.1,1738.0,18001336.0,-1.87,41302.8,23.57,1422340.0,292.03,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.85,6SEP2018,290.9,351.3,296.45,,232.35,290.75,290.8,,4243474.0,290.7,No Band,5.0,23-MAR-18,7.5,291.0,291.05,14143343.0,291.1,291.15,291.2,-5.55,,,11350.0,False,29082.0,5669.0,1286.0,EQ,1.0,18061.0,0.0,295.9,INE062A01020,290.9,Fri Sep  7 13:41:22 2018
326.05,SBIN,12.5,28-JUN-18,2300603.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,14319.0,2867.0,1693.0,26-OCT-17,1372.0,290.1,1738.0,18001336.0,-1.87,41302.8,23.57,1422340.0,292.03,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.85,6SEP2018,290.9,351.3,296.45,,232.35,290.75,290.8,,4243474.0,290.7,No Band,5.0,23-MAR-18,7.5,291.0,291.05,14143343.0,291.1,291.15,291.2,-5.55,,,11350.0,False,29082.0,5669.0,1286.0,EQ,1.0,18061.0,0.0,295.9,INE062A01020,290.9,Fri Sep  7 13:42:22 2018
326.05,SBIN,12.5,28-JUN-18,2300603.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,14319.0,2867.0,1693.0,26-OCT-17,1372.0,290.1,1738.0,18001336.0,-1.87,41302.8,23.57,1422340.0,292.03,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.85,6SEP2018,290.9,351.3,296.45,,232.35,290.75,290.8,,4243474.0,290.7,No Band,5.0,23-MAR-18,7.5,291.0,291.05,14143343.0,291.1,291.15,291.2,-5.55,,,11350.0,False,29082.0,5669.0,1286.0,EQ,1.0,18061.0,0.0,295.9,INE062A01020,290.9,Fri Sep  7 13:43:22 2018
326.05,SBIN,12.5,28-JUN-18,2322511.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,14195.0,9820.0,5260.0,26-OCT-17,564.0,290.1,21027.0,18001336.0,-1.89,41392.13,23.57,1421866.0,292.03,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.8,6SEP2018,290.85,351.3,296.45,,232.35,290.7,290.75,,4243474.0,290.65,No Band,5.0,23-MAR-18,7.5,290.9,290.95,14173930.0,291.0,291.05,291.1,-5.60,,,25732.0,False,11779.0,12474.0,507.0,EQ,1.0,7967.0,0.0,295.9,INE062A01020,290.85,Fri Sep  7 13:44:22 2018
326.05,SBIN,12.5,28-JUN-18,2301928.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,12430.0,3007.0,5689.0,26-OCT-17,763.0,290.1,257.0,18001336.0,-1.89,41540.43,23.57,1444952.0,292.02,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.8,6SEP2018,290.85,351.3,296.45,,232.35,290.7,290.75,,4243474.0,290.65,No Band,5.0,23-MAR-18,7.5,290.9,290.95,14225199.0,291.0,291.05,291.1,-5.60,,,36462.0,False,10296.0,9797.0,8581.0,EQ,1.0,19617.0,0.0,295.9,INE062A01020,290.85,Fri Sep  7 13:45:22 2018
326.05,SBIN,12.5,28-JUN-18,2313955.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,10497.0,5976.0,8614.0,26-OCT-17,2810.0,290.1,597.0,18001336.0,-1.86,41582.15,23.57,1430104.0,292.02,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.8,6SEP2018,290.85,351.3,296.45,,232.35,290.7,290.75,,4243474.0,290.65,No Band,5.0,23-MAR-18,7.5,290.9,290.95,14239486.0,291.0,291.05,291.1,-5.50,,,21623.0,False,6359.0,9266.0,3020.0,EQ,1.0,26061.0,0.0,295.9,INE062A01020,290.95,Fri Sep  7 13:46:22 2018
326.05,SBIN,12.5,28-JUN-18,2313955.0,,State Bank of India,N,15-JUN-18,19-JUN-18,Listed,295.9,296.45,6.71,266.85,10497.0,5976.0,8614.0,26-OCT-17,2810.0,290.1,597.0,18001336.0,-1.86,41582.15,23.57,1430104.0,292.02,,111119.15,ANNUAL GENERAL MEETING\/ CHANGE IN REGISTRAR AND TRANSFER AGENT,290.8,6SEP2018,290.85,351.3,296.45,,232.35,290.7,290.75,,4243474.0,290.65,No Band,5.0,23-MAR-18,7.5,290.9,290.95,14239486.0,291.0,291.05,291.1,-5.50,,,21623.0,False,6359.0,9266.0,3020.0,EQ,1.0,26061.0,0.0,295.9,INE062A01020,290.95,Fri Sep  7 13:47:22 2018
